stadium_name,team,affiliate_id,class,elevation,fair_territory,lf_fh,cf_fh,rf_fh,lf_dist,lc_dist,cf_dist,rc_dist,rf_dist
121 Financial Ballpark,Jacksonville Jumbo Shrimp,MIA02,AAA,12,106.2,6,7,6,321,404,420,385,317
ABC Supply Stadium,Beloit Sky Carp,MIA02,High-A,734,109.3,8,8,8,345,410,401,391,325
AdventHealth Stadium,Rome Emperors,ATL03,High-A,603,110.8,8,16,8,335,392,401,398,330
Arthur W. Perdue Stadium,Delmarva Shorebirds,BAL12,Low-A,50,105.5,8,8,8,309,391,402,391,309
Arvest Ballpark,Northwest Arkansas Naturals,KAN06,AA,1311,105.4,8,8,8,325,388,400,388,325
AT&T Field,Chattanooga Lookouts,CIN09,AA,725,103.2,16,16,16,330,385,400,385,325
Atrium Health Ballpark,Kannapolis Cannon Ballers,CHI12,Low-A,809,108,8,14,12,325,374,400,384,315
AutoZone Park,Memphis Redbirds,STL10,AAA,232,103.3,16,8,8,319,370,400,388,322
Avista Stadium,Spokane Indians,DEN02,High-A,1924,101.6,12,12,5,335,382,398,390,296
Bank of the James Stadium,Lynchburg Hillcats,CLE08,Low-A,819,105,15,15,15,325,384,390,384,325
Banner Island Ballpark,Stockton Ports,OAK01,Low-A,3,101.2,12,8,8,300,377,399,382,326
BayCare Ballpark,Clearwater Threshers,PHI13,Low-A,22,102.8,10,12,18,329,382,408,395,330
Blue Wahoos Stadium,Pensacola Blue Wahoos,MIA02,AA,18,105.8,7,7,7,342,384,400,393,333
Bowling Green Ballpark,Bowling Green Hot Rods,STP01,High-A,481,101.4,7,14,7,318,394,400,365,326
Canal Park,Akron RubberDucks,CLE08,AA,953,107.1,10,10,10,331,387,400,385,337
Carilion Clinic Field,Salem Red Sox,BOS07,Low-A,1091,104.5,19,19,19,325,385,401,385,325
Cheney Stadium,Tacoma Rainiers,SEA03,AAA,328,102.6,9,18,9,325,385,425,385,325
Chickasaw Bricktown Ballpark,Oklahoma City Baseball Club,LOS03,AAA,1190,111.1,8,8,16,325,405,400,405,325
CHS Field,St. Paul Saints,MIN04,AAA,723,101.3,8,8,16,329,366,396,363,321
Chukchansi Park,Fresno Grizzlies,DEN02,Low-A,275,110.2,8,8,3,324,385,400,380,335
Classic Auto Group Park,Lake County Captains,CLE08,High-A,619,99,8,8,8,320,381,400,375,320
Clover Park,St. Lucie Mets,NYC20,Low-A,29,108.3,6,6,6,338,403,410,403,338
Coca-Cola Park,Lehigh Valley IronPigs,PHI13,AAA,335,103.5,8,7,15,323,390,400,377,325
Constellation Field,Sugar Land Space Cowboys,HOU03,AAA,78,106.1,11,7,7,322,375,400,386,345
Coolray Field,Gwinnett Stripers,ATL03,AAA,1072,109.9,7,7,7,335,390,400,390,335
Day Air Ballpark,Dayton Dragons,CIN09,High-A,733,105,8,11,8,320,381,400,382,320
Dell Diamond,Round Rock Express,ARL03,AAA,665,107.5,8,8,8,335,400,400,370,325
Delta Dental Stadium,New Hampshire Fisher Cats,TOR02,AA,157,102.4,8,12,12,326,400,400,380,306
Dickey-Stephens Park,Arkansas Travelers,SEA03,AA,239,108.5,10,10,5,332,411,400,402,330
Dow Diamond,Great Lakes Loons,LOS03,High-A,626,103.4,13,10,9,332,397,400,397,325
Dozer Park,Peoria Chiefs,STL10,High-A,483,104.3,12,12,12,310,383,400,393,310
